24|Wilson    |George    |Hutchinson Rd            |Arkansas      |40767|Travel     
103|Washington|Thomas    |North Preisker Lane      |Iowa          |37115|Freight    
164|Washington|Chester   |N Kentwood               |Delaware      |29109|Furniture  
49|Washington|Chester   |Hutchinson Rd            |Hawaii        |67771|Freight    
12|Washington|Bill      |Moreno Drive             |North Carolina|67852|Security   
216|Washington|George    |Harbor Dr                |Pennsylvania  |99323|Travel     
250|Washington|Abraham   |East Main Street         |Colorado      |37621|Electronics
12|Washington|Ronald    |Hutchinson Rd            |Idaho         |78803|Travel     
225|Washington|Richard   |South Highway            |New Mexico    |65520|Travel     
82|Washington|Franklin  |Santa Monica Road        |Minnesota     |23543|Security   
181|Washington|Herbert   |Hutchinson Rd            |California    |65822|Freight    
64|Washington|George    |French Camp Turnpike Road|Idaho         |85954|Computers  
176|Washington|Bill      |Newbury Road             |Pennsylvania  |65326|Furniture  
73|Washington|Abraham   |N Harrison St            |Texas         |98630|Freight    
103|Washington|Thomas    |North Preisker Lane      |Iowa          |37115|Freight    
164|Washington|Chester   |N Kentwood               |Delaware      |29109|Furniture  
49|Washington|Chester   |Hutchinson Rd            |Hawaii        |67771|Freight    
12|Washington|Bill      |Moreno Drive             |North Carolina|67852|Security   
216|Washington|George    |Harbor Dr                |Pennsylvania  |99323|Travel     
102|Washington|Martin    |N Harrison St            |Maine         |67349|Freight    
247|Washington|Franklin  |E Fowler Avenue          |Virginia      |48726|Security   
12|Van Buren |Warren    |South Highway            |Iowa          |92238|Electronics
83|Van Buren |Theodore  |Fontaine Road            |Minnesota     |33163|Computers  
136|Van Buren |Richard   |Harbor Dr                |Rhode Island  |97374|Electronics
61|Van Buren |Ulysses   |Moreno Drive             |Michigan      |24262|Freight    
49|Van Buren |Warren    |Lindbergh Blvd           |Oregon        |44872|Computers  
209|Van Buren |James     |Richmond Hill            |New Mexico    |58742|Computers  
152|Van Buren |Dwight    |Monroe Street            |Iowa          |93534|Electronics
179|Van Buren |Rutherford|Newbury Road             |Ohio          |37600|Travel     
68|Van Buren |Herbert   |Tanger Blvd              |Missouri      |99566|Travel     
49|Van Buren |Martin    |Katella Avenue           |Delaware      |87609|Electronics
125|Van Buren |Gerald    |Fontaine Road            |Georgia       |71016|Computers  
12|Van Buren |Warren    |South Highway            |Iowa          |92238|Electronics
83|Van Buren |Theodore  |Fontaine Road            |Minnesota     |33163|Computers  
136|Van Buren |Richard   |Harbor Dr                |Rhode Island  |97374|Electronics
61|Van Buren |Ulysses   |Moreno Drive             |Michigan      |24262|Freight    
49|Van Buren |Warren    |Lindbergh Blvd           |Oregon        |44872|Computers  
209|Van Buren |James     |Richmond Hill            |New Mexico    |58742|Computers  
152|Van Buren |Dwight    |Monroe Street            |Iowa          |93534|Electronics
179|Van Buren |Rutherford|Newbury Road             |Ohio          |37600|Travel     
68|Van Buren |Herbert   |Tanger Blvd              |Missouri      |99566|Travel     
49|Van Buren |Martin    |Katella Avenue           |Delaware      |87609|Electronics
125|Van Buren |Gerald    |Fontaine Road            |Georgia       |71016|Computers  
254|Van Buren |Franklin  |Fontaine Road            |Massachusetts |87050|Computers  
163|Tyler     |Franklin  |North Ventu Park Road    |Wisconsin     |82227|Computers  
6|Tyler     |John      |Bayshore Freeway         |Idaho         |44117|Travel     
59|Tyler     |William   |Cleveland Ave.           |Ohio          |26537|Travel     
66|Tyler     |Lyndon    |North Atherton Street    |Nebraska      |56022|Electronics
217|Tyler     |Calvin    |N Harrison St            |Vermont       |79909|Computers  
134|Tyler     |George    |San Diego Freeway        |Ohio          |98882|Security   
146|Tyler     |Millard   |Carpinteria South        |Idaho         |38007|Security   
60|Tyler     |Franklin  |W. Russell St.           |South Carolina|82123|Computers  
42|Tyler     |Benjamin  |Castillo Drive           |Connecticut   |72772|Electronics
200|Tyler     |George    |Greenwood Road           |Nebraska      |89814|Computers  
83|Tyler     |Andrew    |Grandview Drive          |Hawaii        |75700|Travel     
152|Tyler     |Franklin  |San Ysidro Blvd          |Missouri      |42461|Electronics
211|Tyler     |Calvin    |Calle Real               |Iowa          |88854|Electronics
71|Tyler     |Millard   |Camelback Rd             |Montana       |37560|Electronics
163|Tyler     |Franklin  |North Ventu Park Road    |Wisconsin     |82227|Computers  
6|Tyler     |John      |Bayshore Freeway         |Idaho         |44117|Travel     
59|Tyler     |William   |Cleveland Ave.           |Ohio          |26537|Travel     
66|Tyler     |Lyndon    |North Atherton Street    |Nebraska      |56022|Electronics
217|Tyler     |Calvin    |N Harrison St            |Vermont       |79909|Computers  
134|Tyler     |George    |San Diego Freeway        |Ohio          |98882|Security   
146|Tyler     |Millard   |Carpinteria South        |Idaho         |38007|Security   
60|Tyler     |Franklin  |W. Russell St.           |South Carolina|82123|Computers  
42|Tyler     |Benjamin  |Castillo Drive           |Connecticut   |72772|Electronics
200|Tyler     |George    |Greenwood Road           |Nebraska      |89814|Computers  
83|Tyler     |Andrew    |Grandview Drive          |Hawaii        |75700|Travel     
152|Tyler     |Franklin  |San Ysidro Blvd          |Missouri      |42461|Electronics
211|Tyler     |Calvin    |Calle Real               |Iowa          |88854|Electronics
71|Tyler     |Millard   |Camelback Rd             |Montana       |37560|Electronics
188|Tyler     |Warren    |Santa Ana Freeway        |Alaska        |97974|Travel     
231|Truman    |Bill      |Burnett Road             |Ohio          |69108|Electronics
226|Truman    |Benjamin  |North Ventu Park Road    |Wyoming       |64237|Computers  
160|Truman    |John      |Burnett Road             |Texas         |60777|Security   
196|Truman    |Abraham   |Jones Road               |Mississippi   |65636|Travel     
207|Truman    |James     |Lawrenceville Suwanee    |Ohio          |36315|Electronics
242|Truman    |Martin    |Moreno Drive             |Minnesota     |68886|Freight    
220|Truman    |Bill      |Santa Monica Road        |Michigan      |64976|Computers  
121|Truman    |Theodore  |San Luis Obispo North    |Ohio          |94526|Security   
72|Truman    |Lyndon    |Westside Freeway         |Arizona       |79641|Security   
58|Truman    |Bill      |El Camino Real           |Delaware      |96177|Security   
153|Truman    |Dwight    |San Ysidro Blvd          |Indiana       |26371|Freight    
231|Truman    |Bill      |Burnett Road             |Ohio          |69108|Electronics
226|Truman    |Benjamin  |North Ventu Park Road    |Wyoming       |64237|Computers  
160|Truman    |John      |Burnett Road             |Texas         |60777|Security   
196|Truman    |Abraham   |Jones Road               |Mississippi   |65636|Travel     
207|Truman    |James     |Lawrenceville Suwanee    |Ohio          |36315|Electronics
242|Truman    |Martin    |Moreno Drive             |Minnesota     |68886|Freight    
220|Truman    |Bill      |Santa Monica Road        |Michigan      |64976|Computers  
121|Truman    |Theodore  |San Luis Obispo North    |Ohio          |94526|Security   
72|Truman    |Lyndon    |Westside Freeway         |Arizona       |79641|Security   
58|Truman    |Bill      |El Camino Real           |Delaware      |96177|Security   
153|Truman    |Dwight    |San Ysidro Blvd          |Indiana       |26371|Freight    
180|Truman    |James     |Lawrenceville Suwanee    |Washington    |48989|Computers  
35|Truman    |John      |North Ventu Park Road    |Alabama       |82984|Travel     
79|Truman    |Ronald    |Greenwood Road           |Nebraska      |64645|Computers  
208|Taylor    |Andrew    |Bailard Avenue           |Wisconsin     |27487|Furniture  
20|Taylor    |Jimmy     |Tanger Blvd              |Ohio          |24148|Furniture  
175|Taylor    |Richard   |Calle Real               |Michigan      |92476|Travel     
254|Taylor    |Richard   |Burnett Road             |Utah          |45718|Furniture  
71|Taylor    |Woodrow   |Hutchinson Rd            |Washington    |60878|Freight    
94|Taylor    |Franklin  |Lindbergh Blvd           |North Carolina|86248|Computers  
240|Taylor    |Harry     |Padre Boulevard          |Missouri      |60959|Electronics
208|Taylor    |Andrew    |Bailard Avenue           |Wisconsin     |27487|Furniture  
20|Taylor    |Jimmy     |Tanger Blvd              |Ohio          |24148|Furniture  
175|Taylor    |Richard   |Calle Real               |Michigan      |92476|Travel     
254|Taylor    |Richard   |Burnett Road             |Utah          |45718|Furniture  
71|Taylor    |Woodrow   |Hutchinson Rd            |Washington    |60878|Freight    
94|Taylor    |Franklin  |Lindbergh Blvd           |North Carolina|86248|Computers  
240|Taylor    |Harry     |Padre Boulevard          |Missouri      |60959|Electronics
245|Taylor    |Zachary   |North Preisker Lane      |North Dakota  |64179|Security   
42|Taft      |John      |San Marcos               |Rhode Island  |77330|Furniture  
65|Taft      |Theodore  |San Ysidro Blvd          |Louisiana     |58359|Electronics
62|Taft      |Thomas    |Steele Lane              |Florida       |49279|Electronics
124|Taft      |William   |East Fry Blvd.           |West Virginia |51096|Travel     
33|Taft      |Herbert   |San Ysidro Blvd          |Oregon        |70003|Travel     
248|Taft      |Warren    |Fontaine Road            |Oklahoma      |27682|Freight    
153|Taft      |Andrew    |Fairview Avenue          |Wisconsin     |96103|Furniture  
42|Taft      |John      |San Marcos               |Rhode Island  |77330|Furniture  
65|Taft      |Theodore  |San Ysidro Blvd          |Louisiana     |58359|Electronics
62|Taft      |Thomas    |Steele Lane              |Florida       |49279|Electronics
124|Taft      |William   |East Fry Blvd.           |West Virginia |51096|Travel     
33|Taft      |Herbert   |San Ysidro Blvd          |Oregon        |70003|Travel     
248|Taft      |Warren    |Fontaine Road            |Oklahoma      |27682|Freight    
153|Taft      |Andrew    |Fairview Avenue          |Wisconsin     |96103|Furniture  
139|Taft      |Thomas    |Castillo Drive           |California    |95605|Security   
133|Roosevelt |Richard   |Carpinteria Avenue       |Mississippi   |32785|Computers  
255|Roosevelt |Zachary   |Castillo Drive           |Georgia       |88469|Furniture  
31|Roosevelt |Franklin  |Greenwood Road           |Texas         |71334|Freight    
210|Roosevelt |Calvin    |Steele Lane              |California    |55808|Computers  
115|Roosevelt |Franklin  |Westside Freeway         |New York      |31115|Freight    
27|Roosevelt |William   |Lawrenceville Suwanee    |Kentucky      |64712|Freight    
87|Roosevelt |William   |Carpinteria South        |New York      |85641|Travel     
219|Roosevelt |Martin    |Camelback Rd             |Connecticut   |27093|Electronics
29|Roosevelt |Richard   |North Atherton Street    |Maine         |24905|Travel     
123|Roosevelt |Thomas    |Bowles Avenue            |Pennsylvania  |52791|Electronics
170|Roosevelt |Thomas    |Newbury Road             |Nevada        |42800|Electronics
130|Roosevelt |Gerald    |El Camino Real           |Florida       |56025|Security   
199|Roosevelt |George    |Katella Avenue           |Connecticut   |69724|Security   
180|Roosevelt |Lyndon    |South Highway            |Idaho         |55581|Furniture  
232|Roosevelt |Benjamin  |Lindbergh Blvd           |Georgia       |25777|Furniture  
162|Roosevelt |Calvin    |Apalachee Parkway        |New Jersey    |53159|Freight    
153|Roosevelt |Chester   |North Preisker Lane      |Mississippi   |57643|Travel     
67|Roosevelt |Theodore  |Corona Del Mar           |Tennessee     |28901|Security   
41|Roosevelt |Martin    |Santa Monica Road        |Alabama       |85025|Security   
195|Roosevelt |Lyndon    |San Luis Obispo North    |Missouri      |55408|Travel     
129|Roosevelt |Benjamin  |E Fowler Avenue          |Hawaii        |29494|Security   
200|Roosevelt |Woodrow   |Redwood Highway          |Idaho         |81186|Computers  
171|Roosevelt |Millard   |North Broadway Street    |Colorado      |48233|Travel     
230|Roosevelt |Ulysses   |N Kentwood               |Pennsylvania  |52546|Security   
29|Roosevelt |Warren    |Camelback Rd             |South Carolina|66541|Freight    
83|Roosevelt |Jimmy     |Apalachee Parkway        |Wyoming       |93096|Electronics
113|Roosevelt |Grover    |Jones Road               |Maine         |60021|Security   
72|Roosevelt |Ronald    |Via Real                 |New Jersey    |33436|Electronics
59|Roosevelt |Bill      |East Calle Primera       |Kansas        |61799|Electronics
108|Roosevelt |Thomas    |San Simeon               |Minnesota     |85727|Computers  
160|Roosevelt |Abraham   |Bayshore Freeway         |Missouri      |90432|Computers  
123|Roosevelt |Grover    |Pacific Hwy S            |Louisiana     |23170|Travel     
177|Roosevelt |John      |South Roosevelt Drive    |Texas         |51924|Computers  
127|Roosevelt |George    |Santa Rosa North         |Mississippi   |88307|Security   
114|Roosevelt |Herbert   |Cabrillo Highway         |Louisiana     |90627|Electronics
133|Roosevelt |Richard   |Carpinteria Avenue       |Mississippi   |32785|Computers  
255|Roosevelt |Zachary   |Castillo Drive           |Georgia       |88469|Furniture  
31|Roosevelt |Franklin  |Greenwood Road           |Texas         |71334|Freight    
210|Roosevelt |Calvin    |Steele Lane              |California    |55808|Computers  
115|Roosevelt |Franklin  |Westside Freeway         |New York      |31115|Freight    
27|Roosevelt |William   |Lawrenceville Suwanee    |Kentucky      |64712|Freight    
87|Roosevelt |William   |Carpinteria South        |New York      |85641|Travel     
219|Roosevelt |Martin    |Camelback Rd             |Connecticut   |27093|Electronics
29|Roosevelt |Richard   |North Atherton Street    |Maine         |24905|Travel     
123|Roosevelt |Thomas    |Bowles Avenue            |Pennsylvania  |52791|Electronics
170|Roosevelt |Thomas    |Newbury Road             |Nevada        |42800|Electronics
130|Roosevelt |Gerald    |El Camino Real           |Florida       |56025|Security   
199|Roosevelt |George    |Katella Avenue           |Connecticut   |69724|Security   
180|Roosevelt |Lyndon    |South Highway            |Idaho         |55581|Furniture  
232|Roosevelt |Benjamin  |Lindbergh Blvd           |Georgia       |25777|Furniture  
162|Roosevelt |Calvin    |Apalachee Parkway        |New Jersey    |53159|Freight    
153|Roosevelt |Chester   |North Preisker Lane      |Mississippi   |57643|Travel     
67|Roosevelt |Theodore  |Corona Del Mar           |Tennessee     |28901|Security   
41|Roosevelt |Martin    |Santa Monica Road        |Alabama       |85025|Security   
195|Roosevelt |Lyndon    |San Luis Obispo North    |Missouri      |55408|Travel     
129|Roosevelt |Benjamin  |E Fowler Avenue          |Hawaii        |29494|Security   
200|Roosevelt |Woodrow   |Redwood Highway          |Idaho         |81186|Computers  
171|Roosevelt |Millard   |North Broadway Street    |Colorado      |48233|Travel     
230|Roosevelt |Ulysses   |N Kentwood               |Pennsylvania  |52546|Security   
29|Roosevelt |Warren    |Camelback Rd             |South Carolina|66541|Freight    
83|Roosevelt |Jimmy     |Apalachee Parkway        |Wyoming       |93096|Electronics
113|Roosevelt |Grover    |Jones Road               |Maine         |60021|Security   
72|Roosevelt |Ronald    |Via Real                 |New Jersey    |33436|Electronics
59|Roosevelt |Bill      |East Calle Primera       |Kansas        |61799|Electronics
108|Roosevelt |Thomas    |San Simeon               |Minnesota     |85727|Computers  
160|Roosevelt |Abraham   |Bayshore Freeway         |Missouri      |90432|Computers  
123|Roosevelt |Grover    |Pacific Hwy S            |Louisiana     |23170|Travel     
177|Roosevelt |John      |South Roosevelt Drive    |Texas         |51924|Computers  
127|Roosevelt |George    |Santa Rosa North         |Mississippi   |88307|Security   
114|Roosevelt |Herbert   |Cabrillo Highway         |Louisiana     |90627|Electronics
104|Roosevelt |Franklin  |Bowles Avenue            |North Dakota  |57147|Security   
208|Roosevelt |Theodore  |Pacific Hwy S            |Michigan      |56208|Furniture  
84|Roosevelt |Lyndon    |French Camp Turnpike Road|Kentucky      |92936|Security   
130|Roosevelt |Theodore  |Cabrillo Highway         |Utah          |96374|Security   
243|Roosevelt |Warren    |E Fowler Avenue          |Arizona       |53133|Security   
68|Roosevelt |Millard   |Santa Rosa North         |Massachusetts |48602|Electronics
123|Roosevelt |Thomas    |Santa Ana Freeway        |West Virginia |42638|Freight    
206|Roosevelt |Benjamin  |Santa Ana Freeway        |Maine         |75458|Electronics
235|Roosevelt |Benjamin  |East 1st Street          |Michigan      |35355|Electronics
111|Reagan    |Millard   |North Atherton Street    |Oregon        |73740|Travel     
29|Reagan    |Dwight    |Padre Boulevard          |Connecticut   |78941|Security   
49|Reagan    |George    |Santa Rosa South         |New Hampshire |71146|Computers  
196|Reagan    |Woodrow   |Fontaine Road            |Maine         |98172|Travel     
20|Reagan    |Calvin    |North Erringer Road      |Montana       |48834|Furniture  
133|Reagan    |Zachary   |Lake Tahoe Blvd.         |Oregon        |49016|Furniture  
50|Reagan    |Ronald    |San Marcos               |Ohio          |58399|Furniture  
133|Reagan    |James     |Santa Monica Road        |Minnesota     |50024|Travel     
76|Reagan    |Millard   |North Ventu Park Road    |Arkansas      |44239|Security   
148|Reagan    |Andrew    |East Calle Primera       |New Hampshire |96879|Security   
45|Reagan    |Rutherford|Tully Road East          |Alabama       |61692|Furniture  
255|Reagan    |Ulysses   |East Main Street         |Oregon        |86917|Computers  
182|Reagan    |Richard   |French Camp Turnpike Road|Montana       |61617|Computers  
115|Reagan    |Zachary   |Monroe Street            |Nebraska      |60704|Electronics
135|Reagan    |Grover    |Cabrillo Highway         |Georgia       |25681|Electronics
111|Reagan    |Millard   |North Atherton Street    |Oregon        |73740|Travel     
29|Reagan    |Dwight    |Padre Boulevard          |Connecticut   |78941|Security   
49|Reagan    |George    |Santa Rosa South         |New Hampshire |71146|Computers  
196|Reagan    |Woodrow   |Fontaine Road            |Maine         |98172|Travel     
20|Reagan    |Calvin    |North Erringer Road      |Montana       |48834|Furniture  
133|Reagan    |Zachary   |Lake Tahoe Blvd.         |Oregon        |49016|Furniture  
50|Reagan    |Ronald    |San Marcos               |Ohio          |58399|Furniture  
133|Reagan    |James     |Santa Monica Road        |Minnesota     |50024|Travel     
76|Reagan    |Millard   |North Ventu Park Road    |Arkansas      |44239|Security   
148|Reagan    |Andrew    |East Calle Primera       |New Hampshire |96879|Security   
45|Reagan    |Rutherford|Tully Road East          |Alabama       |61692|Furniture  
255|Reagan    |Ulysses   |East Main Street         |Oregon        |86917|Computers  
182|Reagan    |Richard   |French Camp Turnpike Road|Montana       |61617|Computers  
115|Reagan    |Zachary   |Monroe Street            |Nebraska      |60704|Electronics
135|Reagan    |Grover    |Cabrillo Highway         |Georgia       |25681|Electronics
221|Reagan    |Warren    |Jean de la Fontaine      |Wisconsin     |79731|Travel     
138|Quincy    |Gerald    |Carpinteria North        |Rhode Island  |37365|Travel     
58|Quincy    |Rutherford|Milpas Street            |Pennsylvania  |25398|Furniture  
184|Quincy    |Rutherford|San Simeon               |Louisiana     |77815|Furniture  
92|Quincy    |Theodore  |East 1st Street          |Alaska        |84680|Freight    
209|Quincy    |Woodrow   |Santa Rosa South         |Vermont       |65582|Electronics
253|Quincy    |Ronald    |Woodson Rd.              |Ohio          |71160|Electronics
121|Quincy    |Warren    |Hutchinson Rd            |Oregon        |76840|Travel     
240|Quincy    |Franklin  |Monroe Street            |Texas         |77484|Freight    
234|Quincy    |Gerald    |Carpinteria Avenue       |New Hampshire |25217|Travel     
224|Quincy    |Bill      |Cabrillo Highway         |Utah          |37090|Travel     
132|Quincy    |John      |Timberlane Drive         |Texas         |47949|Electronics
142|Quincy    |Andrew    |Lindbergh Blvd           |Oklahoma      |91785|Security   
120|Quincy    |George    |Bayshore Freeway         |Colorado      |66380|Security   
138|Quincy    |Gerald    |Carpinteria North        |Rhode Island  |37365|Travel     
58|Quincy    |Rutherford|Milpas Street            |Pennsylvania  |25398|Furniture  
184|Quincy    |Rutherford|San Simeon               |Louisiana     |77815|Furniture  
92|Quincy    |Theodore  |East 1st Street          |Alaska        |84680|Freight    
209|Quincy    |Woodrow   |Santa Rosa South         |Vermont       |65582|Electronics
253|Quincy    |Ronald    |Woodson Rd.              |Ohio          |71160|Electronics
121|Quincy    |Warren    |Hutchinson Rd            |Oregon        |76840|Travel     
240|Quincy    |Franklin  |Monroe Street            |Texas         |77484|Freight    
234|Quincy    |Gerald    |Carpinteria Avenue       |New Hampshire |25217|Travel     
224|Quincy    |Bill      |Cabrillo Highway         |Utah          |37090|Travel     
132|Quincy    |John      |Timberlane Drive         |Texas         |47949|Electronics
142|Quincy    |Andrew    |Lindbergh Blvd           |Oklahoma      |91785|Security   
120|Quincy    |George    |Bayshore Freeway         |Colorado      |66380|Security   
173|Quincy    |William   |E Fowler Avenue          |Maine         |61752|Furniture  
27|Quincy    |Richard   |N Kentwood               |Nebraska      |32961|Security   
97|Quincy    |Calvin    |North Erringer Road      |West Virginia |28716|Electronics
107|Polk      |Chester   |North Atherton Street    |South Dakota  |43356|Electronics
90|Polk      |Abraham   |Pacific Hwy S            |Louisiana     |33892|Electronics
168|Polk      |John      |Cleveland Ave.           |South Carolina|61899|Electronics
127|Polk      |Zachary   |Moreno Drive             |Utah          |67761|Electronics
173|Polk      |Lyndon    |El Camino Real           |New Jersey    |93018|Furniture  
192|Polk      |Theodore  |East Calle Primera       |North Carolina|85843|Electronics
16|Polk      |Thomas    |Cleveland Ave.           |North Carolina|52647|Computers  
61|Polk      |Ulysses   |French Camp Turnpike Road|Illinois      |67780|Electronics
168|Polk      |Calvin    |North Ventu Park Road    |New Jersey    |34651|Electronics
39|Polk      |Thomas    |Tanger Blvd              |Arkansas      |92945|Security   
214|Polk      |Ronald    |East Fry Blvd.           |West Virginia |40056|Security   
236|Polk      |Theodore  |San Simeon               |Connecticut   |23737|Electronics
89|Polk      |Martin    |East Calle Primera       |North Dakota  |42058|Electronics
238|Polk      |John      |Burnett Road             |Idaho         |30453|Electronics
132|Polk      |Benjamin  |W. Russell St.           |Pennsylvania  |49335|Computers  
107|Polk      |Chester   |North Atherton Street    |South Dakota  |43356|Electronics
90|Polk      |Abraham   |Pacific Hwy S            |Louisiana     |33892|Electronics
168|Polk      |John      |Cleveland Ave.           |South Carolina|61899|Electronics
127|Polk      |Zachary   |Moreno Drive             |Utah          |67761|Electronics
173|Polk      |Lyndon    |El Camino Real           |New Jersey    |93018|Furniture  
192|Polk      |Theodore  |East Calle Primera       |North Carolina|85843|Electronics
16|Polk      |Thomas    |Cleveland Ave.           |North Carolina|52647|Computers  
61|Polk      |Ulysses   |French Camp Turnpike Road|Illinois      |67780|Electronics
168|Polk      |Calvin    |North Ventu Park Road    |New Jersey    |34651|Electronics
39|Polk      |Thomas    |Tanger Blvd              |Arkansas      |92945|Security   
214|Polk      |Ronald    |East Fry Blvd.           |West Virginia |40056|Security   
236|Polk      |Theodore  |San Simeon               |Connecticut   |23737|Electronics
89|Polk      |Martin    |East Calle Primera       |North Dakota  |42058|Electronics
238|Polk      |John      |Burnett Road             |Idaho         |30453|Electronics
132|Polk      |Benjamin  |W. Russell St.           |Pennsylvania  |49335|Computers  
216|Polk      |George    |Grandview Drive          |Virginia      |41733|Freight    
31|Polk      |Calvin    |N Harrison St            |Florida       |60554|Computers  
77|Polk      |Chester   |San Simeon               |Louisiana     |53989|Computers  
19|Polk      |Thomas    |Via Real                 |Idaho         |39084|Security   
203|Pierce    |Calvin    |Woodson Rd.              |North Carolina|40234|Freight    
211|Pierce    |Chester   |Grandview Drive          |Indiana       |48459|Freight    
246|Pierce    |Martin    |Bayshore Freeway         |Oklahoma      |66498|Furniture  
219|Pierce    |Dwight    |Richmond Hill            |Hawaii        |60303|Travel     
117|Pierce    |Rutherford|E Fowler Avenue          |Vermont       |66787|Security   
220|Pierce    |Herbert   |Calle Real               |Rhode Island  |72790|Furniture  
192|Pierce    |Chester   |Padre Boulevard          |Maine         |96025|Furniture  
187|Pierce    |Harry     |N Kentwood               |Wisconsin     |82841|Furniture  
1|Pierce    |Andrew    |W. Russell St.           |Kentucky      |94721|Furniture  
166|Pierce    |Grover    |South Highway            |Minnesota     |54624|Freight    
155|Pierce    |Warren    |East Main Street         |Nebraska      |41482|Computers  
240|Pierce    |Chester   |South Highway            |Georgia       |39893|Security   
254|Pierce    |Martin    |San Simeon               |Florida       |73850|Travel     
173|Pierce    |Ulysses   |Milpas Street            |North Dakota  |27384|Security   
151|Pierce    |Millard   |Padre Boulevard          |Maine         |50079|Freight    
158|Pierce    |Martin    |Cabrillo Highway         |Connecticut   |66199|Security   
91|Pierce    |Dwight    |Jean de la Fontaine      |Tennessee     |80340|Freight    
62|Pierce    |George    |East Calle Primera       |Utah          |58064|Electronics
76|Pierce    |Andrew    |Harry S Truman Blvd      |Georgia       |88173|Freight    
203|Pierce    |Calvin    |Woodson Rd.              |North Carolina|40234|Freight    
211|Pierce    |Chester   |Grandview Drive          |Indiana       |48459|Freight    
246|Pierce    |Martin    |Bayshore Freeway         |Oklahoma      |66498|Furniture  
219|Pierce    |Dwight    |Richmond Hill            |Hawaii        |60303|Travel     
117|Pierce    |Rutherford|E Fowler Avenue          |Vermont       |66787|Security   
220|Pierce    |Herbert   |Calle Real               |Rhode Island  |72790|Furniture  
192|Pierce    |Chester   |Padre Boulevard          |Maine         |96025|Furniture  
187|Pierce    |Harry     |N Kentwood               |Wisconsin     |82841|Furniture  
1|Pierce    |Andrew    |W. Russell St.           |Kentucky      |94721|Furniture  
166|Pierce    |Grover    |South Highway            |Minnesota     |54624|Freight    
155|Pierce    |Warren    |East Main Street         |Nebraska      |41482|Computers  
240|Pierce    |Chester   |South Highway            |Georgia       |39893|Security   
254|Pierce    |Martin    |San Simeon               |Florida       |73850|Travel     
173|Pierce    |Ulysses   |Milpas Street            |North Dakota  |27384|Security   
